AggregationMethod,Date,Version,AirportName,PercentOfBaseline,lon,lat,City,State,ISO_3166_2,Country
Daily,2020-03-28,1.0,Kingsford Smith,62,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-13,1.0,Kingsford Smith,29,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-01,1.0,Kingsford Smith,15,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-13,1.0,Kingsford Smith,21,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-04,1.0,Kingsford Smith,27,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-28,1.0,Kingsford Smith,12,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-27,1.0,Kingsford Smith,53,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-06,1.0,Kingsford Smith,55,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-02,1.0,Kingsford Smith,18,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-28,1.0,Santiago International Airport,22,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-07-15,1.0,Santiago International Airport,39,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-04-22,1.0,Santiago International Airport,21,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-06-27,1.0,Santiago International Airport,19,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-05-24,1.0,Santiago International Airport,9,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-07-02,1.0,Santiago International Airport,25,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-03-26,1.0,Santiago International Airport,24,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-05-19,1.0,Santiago International Airport,29,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-06-04,1.0,Santiago International Airport,20,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-05-06,1.0,Santiago International Airport,22,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-04-14,1.0,Santiago International Airport,20,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-09-25,1.0,Santiago International Airport,42,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-08-26,1.0,Santiago International Airport,36,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-07-11,1.0,Santiago International Airport,26,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
Daily,2020-06-20,1.0,Santiago International Airport,16,-70.7942372739446, -33.3907265266744,Santiago,Santiago Province,CL,Chile
